"count_point_id","year","region_id","region_name","region_ons_code","local_authority_id","local_authority_name","local_authority_code","road_name","road_category","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles"
51,2025,1,"South West","E12000009",1,"Isles of Scilly","E06000053","A3111","PA","Major","Pierhead, Hugh Town","A3112",90173,10641,49.91550316,-6.317558051,0.3,0.2
52,2025,1,"South West","E12000009",1,"Isles of Scilly","E06000053","A3112","PA","Major","A3111","A3110",91203,10217,49.91223308,-6.30291304,2,1.2
53,2025,1,"South West","E12000009",1,"Isles of Scilly","E06000053","A3111","PA","Major","A3112","A3110",90782,10687,49.91623084,-6.309136353,1.2,0.7
54,2025,1,"South West","E12000009",1,"Isles of Scilly","E06000053","A3110","PA","Major","A3111","A3112",91515,10820,49.91780213,-6.299061508,0.3,0.2
55,2025,1,"South West","E12000009",1,"Isles of Scilly","E06000053","A3110","PA","Major","A3111","A3112",91664,10833,49.91799555,-6.297002253,4,2.5
60,2025,2,"East Midlands","E12000004",2,"Nottinghamshire","E10000024","A6097","PA","Major","A46","A612",469894,341668,52.96784673,-0.960754035,0.5,0.3
61,2025,3,"Scotland","S92000003",3,"Glasgow City","S12000049","A8","PA","Major","M8","Morrison Street",257982,664405,55.85186199,-4.270144697,0.1,0.1
62,2025,3,"Scotland","S92000003",4,"North Lanarkshire","S12000050","M80","TM","Major","A73","A73",274293,674066,55.94314002,-4.01428347,0.6,0.4
63,2025,3,"Scotland","S92000003",3,"Glasgow City","S12000049","M74","TM","Major","A74","A724",263553,662467,55.83607145,-4.180254132,0.1,0.1
64,2025,1,"South West","E12000009",5,"Somerset","E06000066","A3027","PA","Major","Bridge A3807","A3038",322569,124948,51.01866743,-3.10529223,0.1,0.1
501,2025,4,"Wales","W92000004",6,"Newport","W06000022","M4","TM","Major","28","27",328415,187298,51.57997968,-3.03448837,2.2,1.4
502,2025,4,"Wales","W92000004",7,"Bridgend","W06000013","M4","TM","Major","LA Boundary","37",280770,182100,51.52519021,-3.720061933,2.9,1.8
503,2025,4,"Wales","W92000004",8,"Swansea","W06000011","M4","TM","Major","47","46",263100,199260,51.6753822,-3.981320035,2.9,1.8
504,2000,4,"Wales","W92000004",9,"Isle of Anglesey","W06000001","A5","TA","Major","A4080","A5114",240000,376000,53.25683051,-4.39998126,9.4,5.8
505,2025,4,"Wales","W92000004",10,"Gwynedd","W06000002","A5","PA","Major","A487","A4087",256000,371400,53.22009669,-4.158246482,2.9,1.8
506,2025,4,"Wales","W92000004",11,"Conwy","W06000003","A5","TA","Major","LA Boundary","A4086",266150,360260,53.12267657,-4.001662688,8.4,5.2
